iter	Logloss
0	0.6602350564
1	0.6315266547
2	0.6059336319
3	0.5843551187
4	0.5657431542
5	0.5487919225
6	0.5326805505
7	0.5192428842
8	0.5069223937
9	0.4955240288
10	0.4867319908
11	0.4779133856
12	0.4702307231
13	0.4628715387
14	0.4568321931
15	0.4512344749
16	0.4466152938
17	0.4423892383
18	0.438355196
19	0.4348287632
20	0.4314141158
21	0.4281653239
22	0.4251109454
23	0.4227504954
24	0.4204914085
25	0.4184507427
26	0.4163113672
27	0.4145361554
28	0.4131294135
29	0.4114087644
30	0.4099487593
31	0.4088214237
32	0.4077825954
33	0.4066555167
34	0.4057826812
35	0.4049760821
36	0.4040452505
37	0.4034072841
38	0.4022458637
39	0.4014139456
40	0.400225672
41	0.3994915456
42	0.3986812985
43	0.3983427098
44	0.3978825636
45	0.3970263563
46	0.3963928274
47	0.3959753669
48	0.3955868209
49	0.3951893066
