iter	Passed	Remaining
0	143	14200
1	145	7115
2	146	4742
3	148	3553
4	149	2838
5	150	2360
6	152	2019
7	153	1761
8	154	1558
9	156	1404
10	156	1269
11	157	1155
12	158	1058
13	158	975
14	159	902
15	159	839
16	160	783
17	160	733
18	161	689
19	162	649
20	163	613
21	163	579
22	164	549
23	164	520
24	164	494
25	165	471
26	166	448
27	166	428
28	166	408
29	167	390
30	167	373
31	168	357
32	169	343
33	169	329
34	170	315
35	170	303
36	171	291
37	171	279
38	171	268
39	172	258
40	172	248
41	173	239
42	173	230
43	174	221
44	174	213
45	175	205
46	175	198
47	176	191
48	176	184
49	177	177
50	177	171
51	178	164
52	178	158
53	179	153
54	180	147
55	180	142
56	181	137
57	182	131
58	182	126
59	183	122
60	183	117
61	184	112
62	184	108
63	185	104
64	185	100
65	186	96
66	186	92
67	187	88
68	188	84
69	188	80
70	189	77
71	189	73
72	190	70
73	191	67
74	191	63
75	192	60
76	193	57
77	194	54
78	194	51
79	195	48
80	196	46
81	197	43
82	198	40
83	198	37
84	199	35
85	200	32
86	201	30
87	201	27
88	202	25
89	203	22
90	203	20
91	204	17
92	205	15
93	206	13
94	207	10
95	208	8
96	209	6
97	210	4
98	211	2
99	212	0
